"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"NBL","Noble Energy Inc.","20.05","9589875020.3","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/nbl",
"NBLX","Noble Midstream Partners LP","21.87","1973541276.72","n/a","n/a","Energy","Natural Gas Distribution","https://old.nasdaq.com/symbol/nblx",
"NOA","North American Construction Group Ltd.","10.69","293051437.45","n/a","2006","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/noa",
"NRT","North European Oil Royality Trust","5.02","46136761.8","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/nrt",
"NOG","Northern Oil and Gas, Inc.","1.66","673607679.94","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/nog",
"DNOW","NOW Inc.","10.25","1115197734.75","n/a","2014","Energy","Metal Fabrications","https://old.nasdaq.com/symbol/dnow",
"NS","Nustar Energy L.P.","27.64","2993771983.36","n/a","n/a","Energy","Natural Gas Distribution","https://old.nasdaq.com/symbol/ns",
"NES","Nuverra Environmental Solutions, Inc.","3.009","47331371.406","n/a","2017","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/nes",
"OMP","Oasis Midstream Partners LP","15.79","533626144.84","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/omp",
"OAS","Oasis Petroleum Inc.","2.37","761507304.63","n/a","2010","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/oas",
"OBE","Obsidian Energy Ltd.","0.68","49647811.84","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/obe",
"OXY","Occidental Petroleum Corporation","41.89","37421068818.3","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/oxy",
"OII","Oceaneering International, Inc.","12.83","1269265523.49","n/a","n/a","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/oii",
"OIS","Oil States International, Inc.","10.76","651010160.28","n/a","2001","Energy","Metal Fabrications","https://old.nasdaq.com/symbol/ois",
"OVV","Ovintiv Inc.","16.88","4385494744.08","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/ovv",
"ROYT","Pacific Coast Oil Trust","0.3588","13843637.0904","n/a","2012","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/royt",
"PACD","Pacific Drilling S.A.","1.64","123011480","n/a","2018","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/pacd",
"PHX","Panhandle Royalty Company","7.02","114736066.38","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/phx",
"PARR","Par Pacific Holdings, Inc.","19.61","1003681059.44","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/parr",
"PE","Parsley Energy, Inc.","17.02","7025393941.04","n/a","2014","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/pe",
"PTEN","Patterson-UTI Energy, Inc.","7.38","1435717192.5","n/a","1993","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/pten",
"PBF","PBF Energy Inc.","27.29","3270539703.52","n/a","2012","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/pbf",
"PBFX","PBF Logistics LP","20.81","1292526413.92","n/a","2014","Energy","Natural Gas Distribution","https://old.nasdaq.com/symbol/pbfx",
"PDCE","PDC Energy, Inc.","22.17","2219225845.83","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/pdce",
"BTU","Peabody Energy Corporation","8.5","822800000","n/a","2017","Energy","Coal Mining","https://old.nasdaq.com/symbol/btu",
"PED","Pedevco Corp.","1.43","101474699.04","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/ped",
"PTON","Peloton Interactive, Inc.","27.86","7817922143.08","n/a","2019","Energy","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/pton",
"PBA","Pembina Pipeline Corp.","39.31","21532204944.18","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/pba",
"PVAC","Penn Virginia Corporation","19.79","299286703.12","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/pvac",
"PBT","Permian Basin Royalty Trust","3.82","178045600.72","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/pbt",
"PVL","Permianville Royalty Trust","1.87","61710000","n/a","2011","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/pvl",
"PRT","PermRock Royalty Trust","5.06","61558603.92","n/a","2018","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/prt",
"PTR","PetroChina Company Limited","44.35","81169803654.3","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/ptr",
"PBR","Petroleo Brasileiro S.A.- Petrobras","14.58","95092227185.4","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/pbr",
"PSX","Phillips 66","90.33","39835530000","n/a","n/a","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/psx",
"PSXP","Phillips 66 Partners LP","61.07","13897949798.44","n/a","2013","Energy","Natural Gas Distribution","https://old.nasdaq.com/symbol/psxp",
"PXD","Pioneer Natural Resources Company","137.82","22829404351.14","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/pxd",
